Short name;ATX PRIME;;;;;;;;;
Name;ATX Prime;;;;;;;;;
Symbol;ATPX;;;;;;;;;
Currency;EUR;;;;;;;;;
ISIN;AT0000999925;;;;;;;;;
File for;2013-10-28;;;;;;;;;
Index holiday;no;;;;;;;;;
Composition for;2013-10-28;;;;;;;;;
File creation;2013-10-28 18:03:07;;;;;;;;;
Contact info;idx_mgmt@wienerborse.at;;;;;;;;;
;;;;;;;;;;
Name;ISIN;MIC;Country;Amount of shares;FFF;Ratio DR;Ratio share;WF;Capitalization;Weight
WARIMPEX FINANZ- UND BET. AG;AT0000827209;WBAH;AT;54000000;0.6000;1;1;1.0000;51678000.000000;0.1128
WIENERBERGER AG;AT0000831706;WBAH;AT;117526764;1.0000;1;1;1.0000;1497878607.180000;3.2683
WOLFORD AG;AT0000834007;WBAH;AT;5000000;0.4000;1;1;1.0000;39220000.000000;0.0856
ZUMTOBEL AG;AT0000837307;WBAH;AT;43500000;0.7000;1;1;1.0000;399351750.000000;0.8714
;;;;;;;;;;
Number of constituents;37;;;;;;;;;
Base value;462.490000;;;;;;;;;
Base capitalization;212610806036.500000;;;;;;;;;
Base date;2002-01-02;;;;;;;;;
Adjustment factor;12.532400979900000;;;;;;;;;
Divisor;36681636.700727;;;;;;;;;
Close capitalization;45830571826.023994;;;;;;;;;
Close value;1249.414583104327000;;;;;;;;;
Interest rate name;;;;;;;;;;
Interest rate;;;;;;;;;;
Interest rate date;;;;;;;;;;
Interest rate days;;;;;;;;;;
Interest rate spread;;;;;;;;;;
Short cost;;;;;;;;;;
Cash component;;;;;;;;;;
Dividend points;;;;;;;;;;
